"""KEY"""KEY:0TXTSH;"""SOCIEDAD"""0COMP_CODE:0COMP_CODE;"""CLASE DOCUMENTO VENTA"""0DOC_TYPE:0DOC_TYPE;"""CENTRO"""0PLANT:0PLANT;"""ORGANIZACION DE VENTA"""0SALES_ORG:0SALESORG;"""SOLICITANTE"""0SOLD_TO:0SOLD_TO;"""NOMBRE SOLICITANTE"""1TXTMD:0TXTMD;"""RUT SOLICITANTE"""RUT_SOLD_TO:0TAX_NUMB;"""DESTINATARIO DE MERCANCIA"""0SHIP_TO:0SHIP_TO;"""RUT DESTINATARIO DE MERCANCIA"""RUT_0SHIP_TO:0TAX_NUMB;"""DOCUMENTO VENTA"""0DOC_NUMBER:0DOC_NUMBER;"""POSICION DOC. VENTA"""0S_ORD_ITEM:0S_ORD_ITEM;"""FECHA DOCUMENTO PEDIDO"""0CALDAY:0CALDAY;"""MATERIAL"""0MATERIAL:0MATERIAL;"""DESCRIPCION MATERIAL"""DESCRIPTION:0TXTLG;"""ESPECIE MATERIAL"""ZMAT_SPEC:ZMAT_SPEC;"""ENTREGA"""0DELIV_NUMB:0DELIV_NUMB;"""FACTURA"""0BILL_NUM:0BILL_NUM;"""CENTRO DE BENEFICIO"""0PROFIT_CTR:0PROFIT_CTR;"""PEDIDO CLIENTE"""0PO_NUMBER:0PO_NUMBER;"""CLIENTE FACTURA"""CLIENTE_FACTURA:/BIC/OF_CHAR_000010_00;"""CANTIDAD PEDIDO"""CANTIDAD_PEDIDO:0QUANT_B;"""CANTIDAD ENTREGA"""CANTIDAD_ENTREGA:4ZV_SD11-0QUANT_B_0;"""CANTIDAD FACTURA"""CANTIDAD_FACTURA:4ZV_SD11-0QUANT_B_1;"""VALOR PEDIDO MD"""VALOR_PEDIDO_MD:0NET_VALUE;"""VALOR PEDIDO ME"""VALOR_PEDIDO_ME:0NET_VAL_S;"""VALOR NETRO FACTURA ME"""VALOR_NETRO_FACTURA_ME:4ZV_SD11-0NET_VAL_S_0;"""VALOR NETO FACTURA MD"""VALOR_NETO_FACTURA_MD:4ZV_SD11-0NETVAL_INV;"""PESO BRUTO PEDIDO"""PESO_BRUTO_PEDIDO:0GR_WT_KG;"""PESO NETO PEDIDO"""PESO_NETO_PEDIDO:0NT_WT_KG;"""PESO BRUTO ENTREGA"""PESO_BRUTO_ENTREGA:4ZV_SD11-0GR_WT_KG_0;"""PESO NETO ENTREGA"""PESO_NETO_ENTREGA:4ZV_SD11-0NT_WT_KG_0;"""PRECIO MD"""PRECIO_MD:0COST;"""PRECIO ME"""PRECIO_ME:0COST_VAL_S;"""TIPO DE CAMBIO"""TIPO_DE_CAMBIO:0EXCHG_RATE;"""DESTINATARIO DE FACTURA"""0BILLTOPRTY:0BILLTOPRTY;"""CANAL DE DISTRIBUCIÓN"""0DISTR_CHAN:0DISTR_CHAN;"""NOMBRE DEST. MERCANCIA """0SHIP_TO_NAME:0TXTMD;"""NOMBRE DEST. FACTURA"""0BILLTOPRTY_NAME:0TXTMD;"""VALOR UNITARIO"""VALOR_UNITARIO:FLOAT
0420001271000020;VN01;S106;HN10;VN01;;AGRICOLA CHALACO S.A.;;77080860-K;77080860-K;0420001271;000020;20240607;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;PICT010000;SERVMOFEBAMAY24;77080860-K;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;607231.00 ;661.49 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;77080860-K;01;;AGRICOLA CHALACO S.A.;6.0723100000000000E+05
0420001271000010;VN01;S106;HN10;VN01;;AGRICOLA CHALACO S.A.;;77080860-K;77080860-K;0420001271;000010;20240607;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;PICT010000;SERVMOFEBAMAY24;77080860-K;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;293345.00 ;319.55 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;77080860-K;01;;AGRICOLA CHALACO S.A.;2.9334500000000000E+05
0420001270000010;VN01;S106;HN18;VN01;;AGRICOLA CHALACO S.A.;;77080860-K;77080860-K;0420001270;000010;20240607;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;SICT01000V;SERVICIOMOMAY24;77080860-K;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;167556.00 ;182.53 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;77080860-K;01;;AGRICOLA CHALACO S.A.;1.6755600000000000E+05
0420001268000040;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001268;000040;20240606;ALM_PL_CARMEL_HSJF;ALMENDRA PELON CARMEL;ALMENDRA;;;ALALAL2018;ALMENDRAPELÓNTEMP.;76100265-1;3101.280 ;0.0000000000000000E+00;0.0000000000000000E+00;384331.00 ;418.67 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2400000000000000E+02
0420001268000030;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001268;000030;20240606;ALM_PL_TINONP_HSJF;ALMENDRA PELON TIPO NON PAREIL;ALMENDRA;;;ALALAL2018;ALMENDRAPELÓNTEMP.;76100265-1;2054.340 ;0.0000000000000000E+00;0.0000000000000000E+00;254593.00 ;277.34 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2400000000000000E+02
0420001268000020;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001268;000020;20240606;ALM_PL_TINONP_HSJF;ALMENDRA PELON TIPO NON PAREIL;ALMENDRA;;;ALALAL2019;ALMENDRAPELÓNTEMP.;76100265-1;17881.000 ;0.0000000000000000E+00;0.0000000000000000E+00;2215949.00 ;2413.94 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2400000000000000E+02
0420001268000010;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001268;000010;20240606;ALM_PL_CARMEL_HSJF;ALMENDRA PELON CARMEL;ALMENDRA;;;ALALAL2019;ALMENDRAPELÓNTEMP.;76100265-1;8067.380 ;0.0000000000000000E+00;0.0000000000000000E+00;999772.00 ;1089.10 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2400000000000000E+02
0420001265000010;VN05;S106;HN51;VN05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001265;000010;20240604;LI_GRANEL_HSJF;LIMON GRANEL HSJF;LIMON;;;CHLIEU1998;4500747916;76100265-1;117429.240 ;0.0000000000000000E+00;0.0000000000000000E+00;16169658.00 ;17614.39 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.3800000000000000E+02
0420001262000010;VN01;S106;HN18;VN01;;AGRICOLA VALLES DEL SUR SPA;;76923964-2;76923964-2;0420001262;000010;20240531;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;SFCTN01000;4500762152;76923964-2;2.000 ;0.0000000000000000E+00;0.0000000000000000E+00;1000000.00 ;1089.35 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76923964-2;01;;AGRICOLA VALLES DEL SUR SPA;5.0000000000000000E+05
0420001261000010;VN01;S106;HN11;VN01;;SAN JOSE FARMS SPA;;77403750-0;77403750-0;0420001261;000010;20240514;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;PIOLIO2015;VTAACEITEPERSONAL;77403750-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;136135.00 ;147.64 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;77403750-0;01;;SAN JOSE FARMS SPA;1.3613500000000000E+05
0420001260000010;VN01;S106;HN11;VN01;;FRUCHAC SPA;;78524410-9;78524410-9;0420001260;000010;20240514;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;PIOLIO2015;VTAACEITEALPERSON;78524410-9;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;18908.00 ;20.51 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;78524410-9;01;;FRUCHAC SPA;1.8908000000000000E+04
0420001259000010;VN01;S106;HN11;VN01;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001259;000010;20240514;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;PIOLIO2015;VTAACIETEALPERSON;76100265-1;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;18908.00 ;20.51 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8908000000000000E+04
0420001258000010;VN05;S106;HN51;VN05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001258;000010;20240509;NCC_GRANEL_HSJF;NUEZCC GRANEL HSJF;NUEZCC;;;CHNZCH2008;F.PROFORMANUEZGRAN;76100265-1;45771.000 ;0.0000000000000000E+00;0.0000000000000000E+00;8638086.00 ;9154.20 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8900000000000000E+02
0420001257000060;VN01;S106;HN14;VN01;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001257;000060;20240507;NCC_REP_PEL_HSJF;NUEZCC REPASO DE PELON HSJF;NUEZCC;;;LONZCH2018;NUEZGRANEL;76100265-1;6210.400 ;0.0000000000000000E+00;0.0000000000000000E+00;1172052.00 ;1242.08 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8900000000000000E+02
0420001257000050;VN01;S106;HN14;VN01;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001257;000050;20240507;NCC_REP_PEL_HSJF;NUEZCC REPASO DE PELON HSJF;NUEZCC;;;LONZCH2016;NUEZGRANEL;76100265-1;6279.890 ;0.0000000000000000E+00;0.0000000000000000E+00;1185168.00 ;1255.98 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8900000000000000E+02
0420001257000040;VN01;S106;HN14;VN01;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001257;000040;20240507;NCC_REP_PEL_HSJF;NUEZCC REPASO DE PELON HSJF;NUEZCC;;;LONZCH2012;NUEZGRANEL;76100265-1;5233.720 ;0.0000000000000000E+00;0.0000000000000000E+00;987725.00 ;1046.74 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8900000000000000E+02
0420001257000030;VN01;S106;HN14;VN01;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001257;000030;20240507;NCC_GRANEL_HSJF;NUEZCC GRANEL HSJF;NUEZCC;;;LONZCH2016;NUEZGRANEL;76100265-1;131585.280 ;0.0000000000000000E+00;0.0000000000000000E+00;24833304.00 ;26317.06 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8900000000000000E+02
0420001257000020;VN01;S106;HN14;VN01;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001257;000020;20240507;NCC_GRANEL_HSJF;NUEZCC GRANEL HSJF;NUEZCC;;;LONZCH2018;NUEZGRANEL;76100265-1;288830.570 ;0.0000000000000000E+00;0.0000000000000000E+00;54509257.00 ;57766.11 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8900000000000000E+02
0420001257000010;VN01;S106;HN14;VN01;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001257;000010;20240507;NCC_GRANEL_HSJF;NUEZCC GRANEL HSJF;NUEZCC;;;LONZCH2012;NUEZGRANEL;76100265-1;162310.130 ;0.0000000000000000E+00;0.0000000000000000E+00;30631821.00 ;32462.03 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.8900000000000000E+02
0420001251000040;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001251;000040;20240503;ALM_PL_CARMEL_HSJF;ALMENDRA PELON CARMEL;ALMENDRA;;;ALALAL2019;CUOTA1MAYOALMENDR;76100265-1;16088.320 ;0.0000000000000000E+00;0.0000000000000000E+00;2049467.00 ;2171.92 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2700000000000000E+02
0420001251000030;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001251;000030;20240503;ALM_PL_CARMEL_HSJF;ALMENDRA PELON CARMEL;ALMENDRA;;;ALALAL2018;CUOTA1MAYOALMENDR;76100265-1;32786.860 ;0.0000000000000000E+00;0.0000000000000000E+00;4176679.00 ;4426.23 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2700000000000000E+02
0420001251000020;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001251;000020;20240503;ALM_PL_TINONP_HSJF;ALMENDRA PELON TIPO NON PAREIL;ALMENDRA;;;ALALAL2018;CUOTA1MAYOALMENDR;76100265-1;16646.130 ;0.0000000000000000E+00;0.0000000000000000E+00;2120531.00 ;2247.23 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2700000000000000E+02
0420001251000010;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001251;000010;20240503;ALM_PL_NONP_HSJF;ALMENDRA PELON NON PAREIL;ALMENDRA;;;ALALAL2019;CUOTA1MAYOALMENDR;76100265-1;10562.690 ;0.0000000000000000E+00;0.0000000000000000E+00;1345564.00 ;1425.96 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.2700000000000000E+02
0420001248000020;VS05;S106;HS51;VS05;;EXPORTADORA BAIKA S.A.;;76100265-1;76100265-1;0420001248;000020;20240404;ALM_PL_NONP_HSJF;ALMENDRA PELON NON PAREIL;ALMENDRA;;;ALALAL2019;ALMENDRAPELONNONP;76100265-1;11401.000 ;0.0000000000000000E+00;0.0000000000000000E+00;1512020.00 ;1539.14 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;76100265-1;01;;EXPORTADORA BAIKA S.A.;1.3300000000000000E+02
